clip_id,split,video_file,meeting_id,camera,clip_start_s,clip_end_s,gold_label,label_source,exclude_from_gold,agreement_status,rater_1_label,rater_2_label,adjudicated_label,annotator,adjudicator,notes
EN2002a-C-1601.41-1605.86,dev,EN2002a-C-1601.41-1605.86-video.mp4,EN2002a,speaker_C,0.000,4.450,negative,gold_label,false,disagree,negative,neutral,,,,
EN2002c-B-1679.57-1682.58,dev,EN2002c-B-1679.57-1682.58-video.mp4,EN2002c,speaker_B,0.000,3.010,negative,gold_label,false,disagree,negative,positive,,,,
EN2002d-C-187.12-190.90,dev,EN2002d-C-187.12-190.90-video.mp4,EN2002d,speaker_C,0.000,3.780,positive,gold_label,false,agree,positive,positive,,,,
EN2006a-B-626.68-630.26,dev,EN2006a-B-626.68-630.26-video.mp4,EN2006a,speaker_B,0.000,3.580,neutral,gold_label,false,agree,neutral,neutral,,,,
EN2006a-C-273.11-276.88,dev,EN2006a-C-273.11-276.88-video.mp4,EN2006a,speaker_C,0.000,3.770,negative,gold_label,false,agree,negative,negative,,,,
EN2006b-A-1882.91-1887.53,dev,EN2006b-A-1882.91-1887.53-video.mp4,EN2006b,speaker_A,0.000,4.620,negative,gold_label,false,agree,negative,negative,,,,
ES2002d-C-2338.85-2342.02,dev,ES2002d-C-2338.85-2342.02-video.mp4,ES2002d,speaker_C,0.000,3.170,positive,gold_label,false,disagree,positive,negative,,jorgeiv500,,
ES2004c-C-1635.06-1638.16,dev,ES2004c-C-1635.06-1638.16-video.mp4,ES2004c,speaker_C,0.000,3.100,negative,gold_label,false,agree,negative,negative,,,,
ES2004d-A-1221.01-1224.64,dev,ES2004d-A-1221.01-1224.64-video.mp4,ES2004d,speaker_A,0.000,3.630,negative,gold_label,false,agree,negative,negative,,,,
ES2004d-A-1371.75-1376.25,dev,ES2004d-A-1371.75-1376.25-video.mp4,ES2004d,speaker_A,0.000,4.500,negative,gold_label,false,disagree,negative,neutral,,,,
ES2006b-C-2148.70-2151.95,dev,ES2006b-C-2148.70-2151.95-video.mp4,ES2006b,speaker_C,0.000,3.250,negative,gold_label,false,agree,negative,negative,,jorgeiv500,,
ES2006d-B-805.25-810.03,dev,ES2006d-B-805.25-810.03-video.mp4,ES2006d,speaker_B,0.000,4.780,positive,gold_label,false,disagree,positive,neutral,,,,
ES2006d-D-301.52-304.79,dev,ES2006d-D-301.52-304.79-video.mp4,ES2006d,speaker_D,0.000,3.270,negative,gold_label,false,disagree,negative,neutral,,,,
ES2008b-B-888.26-892.96,dev,ES2008b-B-888.26-892.96-video.mp4,ES2008b,speaker_B,0.000,4.700,neutral,gold_label,false,agree,neutral,neutral,,,,
ES2008c-B-454.21-457.31,dev,ES2008c-B-454.21-457.31-video.mp4,ES2008c,speaker_B,0.000,3.100,negative,gold_label,false,agree,negative,negative,,,,
ES2010b-B-1041.20-1045.82,dev,ES2010b-B-1041.20-1045.82-video.mp4,ES2010b,speaker_B,0.000,4.620,neutral,gold_label,false,agree,neutral,neutral,,,,
ES2012b-A-1836.99-1841.16,dev,ES2012b-A-1836.99-1841.16-video.mp4,ES2012b,speaker_A,0.000,4.170,neutral,gold_label,false,agree,neutral,neutral,,,,
ES2012b-C-1573.98-1577.63,dev,ES2012b-C-1573.98-1577.63-video.mp4,ES2012b,speaker_C,0.000,3.650,negative,gold_label,false,agree,negative,negative,,,,
ES2012c-A-2199.86-2204.17,dev,ES2012c-A-2199.86-2204.17-video.mp4,ES2012c,speaker_A,0.000,4.310,negative,gold_label,false,agree,negative,negative,,,,
ES2012c-C-2172.52-2175.90,dev,ES2012c-C-2172.52-2175.90-video.mp4,ES2012c,speaker_C,0.000,3.380,negative,gold_label,false,disagree,negative,neutral,,,,
ES2014b-B-536.43-539.87,dev,ES2014b-B-536.43-539.87-video.mp4,ES2014b,speaker_B,0.000,3.440,neutral,gold_label,false,agree,neutral,neutral,,,,
ES2014d-D-1672.92-1677.50,dev,ES2014d-D-1672.92-1677.50-video.mp4,ES2014d,speaker_D,0.000,4.580,neutral,gold_label,false,agree,neutral,neutral,,,,
ES2014d-D-814.50-817.86,dev,ES2014d-D-814.50-817.86-video.mp4,ES2014d,speaker_D,0.000,3.360,neutral,gold_label,false,agree,neutral,neutral,,,,
IN1008-D-1371.22-1374.70,dev,IN1008-D-1371.22-1374.70-video.mp4,IN1008,speaker_D,0.000,3.480,neutral,gold_label,false,agree,neutral,neutral,,,,
IS1000a-B-426.42-429.49,dev,IS1000a-B-426.42-429.49-video.mp4,IS1000a,speaker_B,0.000,3.070,neutral,gold_label,false,agree,neutral,neutral,,,,
IS1000c-B-110.34-113.54,dev,IS1000c-B-110.34-113.54-video.mp4,IS1000c,speaker_B,0.000,3.200,negative,gold_label,false,disagree,negative,neutral,,,,
IS1000d-A-1355.46-1360.22,dev,IS1000d-A-1355.46-1360.22-video.mp4,IS1000d,speaker_A,0.000,4.760,neutral,gold_label,false,agree,neutral,neutral,,,,
IS1002b-B-2076.05-2080.59,dev,IS1002b-B-2076.05-2080.59-video.mp4,IS1002b,speaker_B,0.000,4.540,negative,gold_label,false,disagree,negative,neutral,,,,
IS1002b-D-1405.12-1409.95,dev,IS1002b-D-1405.12-1409.95-video.mp4,IS1002b,speaker_D,0.000,4.830,neutral,gold_label,false,agree,neutral,neutral,,,,
IS1004c-A-1351.43-1356.14,dev,IS1004c-A-1351.43-1356.14-video.mp4,IS1004c,speaker_A,0.000,4.710,negative,gold_label,false,disagree,negative,positive,,,,
IS1004c-D-607.18-612.06,dev,IS1004c-D-607.18-612.06-video.mp4,IS1004c,speaker_D,0.000,4.880,positive,gold_label,false,agree,positive,positive,,,,
IS1004d-B-1101.56-1104.65,dev,IS1004d-B-1101.56-1104.65-video.mp4,IS1004d,speaker_B,0.000,3.090,positive,gold_label,false,agree,positive,positive,,,,
IS1004d-B-836.75-841.57,dev,IS1004d-B-836.75-841.57-video.mp4,IS1004d,speaker_B,0.000,4.820,negative,gold_label,false,disagree,negative,neutral,,jorgeiv500,,
IS1006a-A-590.74-593.76,dev,IS1006a-A-590.74-593.76-video.mp4,IS1006a,speaker_A,0.000,3.020,neutral,gold_label,false,agree,neutral,neutral,,,,
IS1006b-A-1491.34-1495.00,dev,IS1006b-A-1491.34-1495.00-video.mp4,IS1006b,speaker_A,0.000,3.660,neutral,gold_label,false,agree,neutral,neutral,,,,
IS1006c-D-567.60-572.54,dev,IS1006c-D-567.60-572.54-video.mp4,IS1006c,speaker_D,0.000,4.940,positive,gold_label,false,agree,positive,positive,,,,
IS1006d-A-1531.94-1535.58,dev,IS1006d-A-1531.94-1535.58-video.mp4,IS1006d,speaker_A,0.000,3.640,positive,gold_label,false,agree,positive,positive,,,,
IS1008d-B-105.76-109.92,dev,IS1008d-B-105.76-109.92-video.mp4,IS1008d,speaker_B,0.000,4.160,positive,gold_label,false,agree,positive,positive,,,,
TS3004a-D-1261.48-1266.00,dev,TS3004a-D-1261.48-1266.00-video.mp4,TS3004a,speaker_D,0.000,4.520,neutral,gold_label,false,agree,neutral,neutral,,,,
TS3004b-A-1245.44-1249.69,dev,TS3004b-A-1245.44-1249.69-video.mp4,TS3004b,speaker_A,0.000,4.250,neutral,gold_label,false,agree,neutral,neutral,,,,
TS3004b-D-1685.40-1688.67,dev,TS3004b-D-1685.40-1688.67-video.mp4,TS3004b,speaker_D,0.000,3.270,neutral,gold_label,false,agree,neutral,neutral,,,,
TS3004d-B-516.31-519.38,dev,TS3004d-B-516.31-519.38-video.mp4,TS3004d,speaker_B,0.000,3.070,neutral,gold_label,false,disagree,neutral,negative,,,,
TS3006b-D-1576.49-1580.80,dev,TS3006b-D-1576.49-1580.80-video.mp4,TS3006b,speaker_D,0.000,4.310,negative,gold_label,false,agree,negative,negative,,,,
TS3006c-B-966.33-969.50,dev,TS3006c-B-966.33-969.50-video.mp4,TS3006c,speaker_B,0.000,3.170,negative,gold_label,false,disagree,negative,positive,,,,
TS3008b-D-1390.31-1395.23,dev,TS3008b-D-1390.31-1395.23-video.mp4,TS3008b,speaker_D,0.000,4.920,neutral,gold_label,false,agree,neutral,neutral,,,,
TS3008c-A-1362.07-1366.90,dev,TS3008c-A-1362.07-1366.90-video.mp4,TS3008c,speaker_A,0.000,4.830,positive,gold_label,false,agree,positive,positive,,jorgeiv500,,
TS3008d-A-1053.78-1057.39,dev,TS3008d-A-1053.78-1057.39-video.mp4,TS3008d,speaker_A,0.000,3.610,neutral,gold_label,false,agree,neutral,neutral,,,,
TS3010c-B-1128.94-1133.36,dev,TS3010c-B-1128.94-1133.36-video.mp4,TS3010c,speaker_B,0.000,4.420,positive,gold_label,false,agree,positive,positive,,,,
TS3010d-B-135.76-139.80,dev,TS3010d-B-135.76-139.80-video.mp4,TS3010d,speaker_B,0.000,4.040,neutral,gold_label,false,agree,neutral,neutral,,,,
TS3012c-A-689.65-693.40,dev,TS3012c-A-689.65-693.40-video.mp4,TS3012c,speaker_A,0.000,3.750,neutral,gold_label,false,agree,neutral,neutral,,jorgeiv500,,
EN2001d-D-741.84-746.62,test,EN2001d-D-741.84-746.62-video.mp4,EN2001d,speaker_D,0.000,4.780,neutral,gold_label,false,agree,neutral,neutral,,,,
EN2001e-B-1566.70-1571.09,test,EN2001e-B-1566.70-1571.09-video.mp4,EN2001e,speaker_B,0.000,4.390,neutral,gold_label,false,agree,neutral,neutral,,,,
EN2001e-D-1702.81-1705.93,test,EN2001e-D-1702.81-1705.93-video.mp4,EN2001e,speaker_D,0.000,3.120,neutral,gold_label,false,agree,neutral,neutral,,,,
EN2009c-C-1639.58-1642.82,test,EN2009c-C-1639.58-1642.82-video.mp4,EN2009c,speaker_C,0.000,3.240,positive,gold_label,false,agree,positive,positive,,,,
ES2005c-D-734.19-737.70,test,ES2005c-D-734.19-737.70-video.mp4,ES2005c,speaker_D,0.000,3.510,negative,gold_label,false,disagree,negative,neutral,,,,
ES2005d-C-1142.25-1146.29,test,ES2005d-C-1142.25-1146.29-video.mp4,ES2005d,speaker_C,0.000,4.040,negative,gold_label,false,agree,negative,negative,,jorgeiv500,,
ES2005d-C-610.20-614.43,test,ES2005d-C-610.20-614.43-video.mp4,ES2005d,speaker_C,0.000,4.230,neutral,gold_label,false,agree,neutral,neutral,,,,
ES2007b-D-266.28-270.22,test,ES2007b-D-266.28-270.22-video.mp4,ES2007b,speaker_D,0.000,3.940,positive,gold_label,false,agree,positive,positive,,,,
ES2009a-D-416.81-420.40,test,ES2009a-D-416.81-420.40-video.mp4,ES2009a,speaker_D,0.000,3.590,neutral,gold_label,false,agree,neutral,neutral,,,,
ES2011c-C-578.26-582.06,test,ES2011c-C-578.26-582.06-video.mp4,ES2011c,speaker_C,0.000,3.800,positive,gold_label,false,agree,positive,positive,,,,
ES2013a-D-731.09-735.79,test,ES2013a-D-731.09-735.79-video.mp4,ES2013a,speaker_D,0.000,4.700,neutral,gold_label,false,disagree,neutral,negative,,,,
ES2013c-C-2185.78-2189.33,test,ES2013c-C-2185.78-2189.33-video.mp4,ES2013c,speaker_C,0.000,3.550,positive,gold_label,false,agree,positive,positive,,,,
ES2013c-D-747.50-750.60,test,ES2013c-D-747.50-750.60-video.mp4,ES2013c,speaker_D,0.000,3.100,neutral,gold_label,false,disagree,neutral,negative,,jorgeiv500,,
ES2013d-A-1654.56-1659.33,test,ES2013d-A-1654.56-1659.33-video.mp4,ES2013d,speaker_A,0.000,4.770,neutral,gold_label,false,disagree,neutral,negative,,,,
ES2015a-A-975.80-979.13,test,ES2015a-A-975.80-979.13-video.mp4,ES2015a,speaker_A,0.000,3.330,neutral,gold_label,false,agree,neutral,neutral,,,,
ES2015b-A-2047.04-2050.05,test,ES2015b-A-2047.04-2050.05-video.mp4,ES2015b,speaker_A,0.000,3.010,neutral,gold_label,false,agree,neutral,neutral,,jorgeiv500,,
ES2015c-A-1104.47-1107.99,test,ES2015c-A-1104.47-1107.99-video.mp4,ES2015c,speaker_A,0.000,3.520,neutral,gold_label,false,disagree,neutral,negative,,,,
ES2015c-A-993.00-997.25,test,ES2015c-A-993.00-997.25-video.mp4,ES2015c,speaker_A,0.000,4.250,neutral,gold_label,false,disagree,neutral,negative,,,,
ES2015c-C-1723.44-1726.45,test,ES2015c-C-1723.44-1726.45-video.mp4,ES2015c,speaker_C,0.000,3.010,neutral,gold_label,false,agree,neutral,neutral,,,,
ES2015d-C-1390.02-1393.38,test,ES2015d-C-1390.02-1393.38-video.mp4,ES2015d,speaker_C,0.000,3.360,positive,gold_label,false,agree,positive,positive,,jorgeiv500,,
IB4005-C-1553.14-1557.58,test,IB4005-C-1553.14-1557.58-video.mp4,IB4005,speaker_C,0.000,4.440,neutral,gold_label,false,agree,neutral,neutral,,,,
IB4011-D-2030.74-2034.31,test,IB4011-D-2030.74-2034.31-video.mp4,IB4011,speaker_D,0.000,3.570,neutral,gold_label,false,agree,neutral,neutral,,,,
IN1001-C-2312.05-2315.05,test,IN1001-C-2312.05-2315.05-video.mp4,IN1001,speaker_C,0.000,3.000,neutral,gold_label,false,agree,neutral,neutral,,,,
IN1005-A-1243.41-1248.41,test,IN1005-A-1243.41-1248.41-video.mp4,IN1005,speaker_A,0.000,5.000,positive,gold_label,false,agree,positive,positive,,,,
IN1013-D-2949.30-2952.55,test,IN1013-D-2949.30-2952.55-video.mp4,IN1013,speaker_D,0.000,3.250,positive,gold_label,false,agree,positive,positive,,,,
IS1001b-A-369.49-373.07,test,IS1001b-A-369.49-373.07-video.mp4,IS1001b,speaker_A,0.000,3.580,neutral,gold_label,false,agree,neutral,neutral,,,,
IS1001b-B-1406.75-1411.48,test,IS1001b-B-1406.75-1411.48-video.mp4,IS1001b,speaker_B,0.000,4.730,neutral,gold_label,false,agree,neutral,neutral,,,,
IS1001c-A-1112.03-1116.92,test,IS1001c-A-1112.03-1116.92-video.mp4,IS1001c,speaker_A,0.000,4.890,neutral,gold_label,false,agree,neutral,neutral,,,,
IS1007a-A-191.25-194.94,test,IS1007a-A-191.25-194.94-video.mp4,IS1007a,speaker_A,0.000,3.690,positive,gold_label,false,agree,positive,positive,,,,
IS1007b-C-1016.05-1020.03,test,IS1007b-C-1016.05-1020.03-video.mp4,IS1007b,speaker_C,0.000,3.980,positive,gold_label,false,agree,positive,positive,,,,
IS1007d-B-1945.44-1948.89,test,IS1007d-B-1945.44-1948.89-video.mp4,IS1007d,speaker_B,0.000,3.450,positive,gold_label,false,agree,positive,positive,,,,
IS1007d-B-724.13-727.22,test,IS1007d-B-724.13-727.22-video.mp4,IS1007d,speaker_B,0.000,3.090,positive,gold_label,false,disagree,positive,neutral,,,,
IS1009c-A-204.66-208.58,test,IS1009c-A-204.66-208.58-video.mp4,IS1009c,speaker_A,0.000,3.920,neutral,gold_label,false,agree,neutral,neutral,,,,
IS1009c-C-1588.73-1593.44,test,IS1009c-C-1588.73-1593.44-video.mp4,IS1009c,speaker_C,0.000,4.710,neutral,gold_label,false,agree,neutral,neutral,,,,
TS3003a-D-109.47-113.72,test,TS3003a-D-109.47-113.72-video.mp4,TS3003a,speaker_D,0.000,4.250,neutral,gold_label,false,agree,neutral,neutral,,jorgeiv500,,
TS3005b-D-1835.86-1840.68,test,TS3005b-D-1835.86-1840.68-video.mp4,TS3005b,speaker_D,0.000,4.820,negative,gold_label,false,agree,negative,negative,,,,
TS3005d-A-1562.96-1566.18,test,TS3005d-A-1562.96-1566.18-video.mp4,TS3005d,speaker_A,0.000,3.220,neutral,gold_label,false,agree,neutral,neutral,,,,
TS3005d-B-639.08-642.36,test,TS3005d-B-639.08-642.36-video.mp4,TS3005d,speaker_B,0.000,3.280,negative,gold_label,false,agree,negative,negative,,,,
TS3005d-B-982.12-986.71,test,TS3005d-B-982.12-986.71-video.mp4,TS3005d,speaker_B,0.000,4.590,positive,gold_label,false,disagree,positive,neutral,,,,
TS3007d-D-992.14-996.21,test,TS3007d-D-992.14-996.21-video.mp4,TS3007d,speaker_D,0.000,4.070,neutral,gold_label,false,agree,neutral,neutral,,,,
TS3009a-B-1446.40-1449.71,test,TS3009a-B-1446.40-1449.71-video.mp4,TS3009a,speaker_B,0.000,3.310,negative,gold_label,false,disagree,negative,neutral,,,,
TS3009b-A-1132.56-1136.53,test,TS3009b-A-1132.56-1136.53-video.mp4,TS3009b,speaker_A,0.000,3.970,neutral,gold_label,false,agree,neutral,neutral,,,,
TS3009b-B-1647.92-1651.97,test,TS3009b-B-1647.92-1651.97-video.mp4,TS3009b,speaker_B,0.000,4.050,negative,gold_label,false,agree,negative,negative,,,,
TS3009c-B-1682.92-1687.70,test,TS3009c-B-1682.92-1687.70-video.mp4,TS3009c,speaker_B,0.000,4.780,negative,gold_label,false,agree,negative,negative,,,,
TS3009c-B-2170.86-2174.32,test,TS3009c-B-2170.86-2174.32-video.mp4,TS3009c,speaker_B,0.000,3.460,neutral,gold_label,false,agree,neutral,neutral,,,,
TS3009c-D-1184.06-1188.77,test,TS3009c-D-1184.06-1188.77-video.mp4,TS3009c,speaker_D,0.000,4.710,negative,gold_label,false,disagree,negative,neutral,,,,
TS3009c-D-1354.90-1358.51,test,TS3009c-D-1354.90-1358.51-video.mp4,TS3009c,speaker_D,0.000,3.610,neutral,gold_label,false,agree,neutral,neutral,,,,
TS3011a-C-1366.58-1370.10,test,TS3011a-C-1366.58-1370.10-video.mp4,TS3011a,speaker_C,0.000,3.520,neutral,gold_label,false,agree,neutral,neutral,,,,
TS3011d-A-1250.46-1253.89,test,TS3011d-A-1250.46-1253.89-video.mp4,TS3011d,speaker_A,0.000,3.430,neutral,gold_label,false,agree,neutral,neutral,,,,
TS3011d-A-951.06-954.78,test,TS3011d-A-951.06-954.78-video.mp4,TS3011d,speaker_A,0.000,3.720,neutral,gold_label,false,agree,neutral,neutral,,,,
