model_name,model_family,hf_model_id,scope,method,gold_label,negative,neutral,positive
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,single_frame,negative,27,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,single_frame,neutral,44,7,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,single_frame,positive,22,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,smoothed,negative,27,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,smoothed,neutral,47,4,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,smoothed,positive,22,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,vote,negative,27,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,vote,neutral,46,5,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,vote,positive,21,1,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,single_frame,negative,19,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,single_frame,neutral,19,2,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,single_frame,positive,10,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,smoothed,negative,19,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,smoothed,neutral,20,1,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,smoothed,positive,10,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,vote,negative,19,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,vote,neutral,20,1,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,vote,positive,9,1,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,single_frame,negative,8,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,single_frame,neutral,25,5,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,single_frame,positive,12,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,smoothed,negative,8,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,smoothed,neutral,27,3,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,smoothed,positive,12,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,vote,negative,8,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,vote,neutral,26,4,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,vote,positive,12,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,smoothed_calibrated,negative,7,1,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,smoothed_calibrated,neutral,11,19,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,smoothed_calibrated,positive,9,3,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,all,single_frame,negative,5,21,1
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,all,single_frame,neutral,1,50,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,all,single_frame,positive,3,13,6
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,all,smoothed,negative,3,23,1
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,all,smoothed,neutral,1,50,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,all,smoothed,positive,1,15,6
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,all,vote,negative,4,22,1
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,all,vote,neutral,2,49,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,all,vote,positive,4,13,5
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,dev,single_frame,negative,4,14,1
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,dev,single_frame,neutral,0,21,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,dev,single_frame,positive,2,5,3
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,dev,smoothed,negative,3,15,1
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,dev,smoothed,neutral,0,21,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,dev,smoothed,positive,0,7,3
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,dev,vote,negative,3,15,1
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,dev,vote,neutral,0,21,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,dev,vote,positive,2,6,2
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,test,single_frame,negative,1,7,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,test,single_frame,neutral,1,29,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,test,single_frame,positive,1,8,3
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,test,smoothed,negative,0,8,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,test,smoothed,neutral,1,29,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,test,smoothed,positive,1,8,3
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,test,vote,negative,1,7,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,test,vote,neutral,2,28,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,test,vote,positive,2,7,3
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,test,smoothed_calibrated,negative,2,6,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,test,smoothed_calibrated,neutral,6,24,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,test,smoothed_calibrated,positive,6,3,3
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,all,single_frame,negative,24,3,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,all,single_frame,neutral,19,32,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,all,single_frame,positive,17,5,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,all,smoothed,negative,27,0,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,all,smoothed,neutral,14,37,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,all,smoothed,positive,18,4,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,dev,single_frame,negative,17,2,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,dev,single_frame,neutral,9,12,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,dev,single_frame,positive,6,4,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,dev,smoothed,negative,19,0,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,dev,smoothed,neutral,4,17,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,dev,smoothed,positive,6,4,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,test,single_frame,negative,7,1,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,test,single_frame,neutral,10,20,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,test,single_frame,positive,11,1,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,test,smoothed,negative,8,0,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,test,smoothed,neutral,10,20,0
cnn_vit_mean_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,test,smoothed,positive,12,0,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,all,single_frame,negative,23,4,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,all,single_frame,neutral,18,33,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,all,single_frame,positive,17,5,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,all,smoothed,negative,27,0,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,all,smoothed,neutral,15,36,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,all,smoothed,positive,19,3,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,dev,single_frame,negative,16,3,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,dev,single_frame,neutral,8,13,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,dev,single_frame,positive,6,4,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,dev,smoothed,negative,19,0,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,dev,smoothed,neutral,5,16,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,dev,smoothed,positive,7,3,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,test,single_frame,negative,7,1,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,test,single_frame,neutral,10,20,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,test,single_frame,positive,11,1,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,test,smoothed,negative,8,0,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,test,smoothed,neutral,10,20,0
cnn_vit_entropy_ensemble,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,test,smoothed,positive,12,0,0
