model,family,scope,method,label,x,y
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0000,0.0000
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0137,0.0000
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0274,0.0000
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0274,0.0370
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0411,0.0370
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0411,0.1111
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0548,0.1111
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0548,0.1852
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0685,0.1852
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0685,0.2222
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0959,0.2222
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0959,0.2963
convnext_tiny_emotion,cnn,all,single_frame,negative,0.1507,0.2963
convnext_tiny_emotion,cnn,all,single_frame,negative,0.1507,0.3333
convnext_tiny_emotion,cnn,all,single_frame,negative,0.1644,0.3333
convnext_tiny_emotion,cnn,all,single_frame,negative,0.1644,0.3704
convnext_tiny_emotion,cnn,all,single_frame,negative,0.2192,0.3704
convnext_tiny_emotion,cnn,all,single_frame,negative,0.2192,0.4074
convnext_tiny_emotion,cnn,all,single_frame,negative,0.2603,0.4074
convnext_tiny_emotion,cnn,all,single_frame,negative,0.2603,0.4444
convnext_tiny_emotion,cnn,all,single_frame,negative,0.2877,0.4444
convnext_tiny_emotion,cnn,all,single_frame,negative,0.2877,0.5926
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3014,0.5926
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3014,0.6296
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3151,0.6296
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3151,0.6667
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3425,0.6667
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3425,0.7407
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3562,0.7407
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3562,0.7778
convnext_tiny_emotion,cnn,all,single_frame,negative,0.4110,0.7778
convnext_tiny_emotion,cnn,all,single_frame,negative,0.4110,0.8148
convnext_tiny_emotion,cnn,all,single_frame,negative,0.4247,0.8148
convnext_tiny_emotion,cnn,all,single_frame,negative,0.4247,0.8519
convnext_tiny_emotion,cnn,all,single_frame,negative,0.4795,0.8519
convnext_tiny_emotion,cnn,all,single_frame,negative,0.4795,0.8889
convnext_tiny_emotion,cnn,all,single_frame,negative,0.5068,0.8889
convnext_tiny_emotion,cnn,all,single_frame,negative,0.5068,0.9259
convnext_tiny_emotion,cnn,all,single_frame,negative,0.5753,0.9259
convnext_tiny_emotion,cnn,all,single_frame,negative,0.5753,0.9630
convnext_tiny_emotion,cnn,all,single_frame,negative,0.6849,0.9630
convnext_tiny_emotion,cnn,all,single_frame,negative,0.6849,1.0000
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0000,0.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0000,0.0196
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0000,0.2745
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0408,0.2745
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0408,0.3529
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0612,0.3529
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0612,0.3922
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0816,0.3922
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0816,0.4118
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1020,0.4118
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1020,0.5882
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1429,0.5882
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1429,0.6471
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1633,0.6471
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1633,0.6667
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.2041,0.6667
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.2041,0.6863
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.3061,0.6863
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.3061,0.7059
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.3673,0.7059
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.3673,0.7255
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4082,0.7255
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4082,0.7451
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4286,0.7451
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4286,0.7647
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4898,0.7647
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4898,0.7843
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.5102,0.7843
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.5102,0.8039
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.5510,0.8039
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.5510,0.8235
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6327,0.8235
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6327,0.8627
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6531,0.8627
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6531,0.8824
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6939,0.8824
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6939,0.9020
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7143,0.9020
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7143,0.9216
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7347,0.9216
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7347,0.9412
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7755,0.9412
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7755,0.9608
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9388,0.9608
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9388,0.9804
convnext_tiny_emotion,cnn,all,single_frame,neutral,1.0000,0.9804
convnext_tiny_emotion,cnn,all,single_frame,neutral,1.0000,1.0000
convnext_tiny_emotion,cnn,all,single_frame,positive,0.0000,0.0000
convnext_tiny_emotion,cnn,all,single_frame,positive,0.0128,0.0000
convnext_tiny_emotion,cnn,all,single_frame,positive,0.1923,0.0000
convnext_tiny_emotion,cnn,all,single_frame,positive,0.1923,0.0455
convnext_tiny_emotion,cnn,all,single_frame,positive,0.2436,0.0455
convnext_tiny_emotion,cnn,all,single_frame,positive,0.2436,0.0909
convnext_tiny_emotion,cnn,all,single_frame,positive,0.2564,0.0909
convnext_tiny_emotion,cnn,all,single_frame,positive,0.2564,0.1364
convnext_tiny_emotion,cnn,all,single_frame,positive,0.2692,0.1364
convnext_tiny_emotion,cnn,all,single_frame,positive,0.2692,0.1818
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3333,0.1818
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3333,0.2273
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3462,0.2273
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3462,0.3182
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3590,0.3182
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3590,0.3636
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3846,0.3636
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3846,0.4091
convnext_tiny_emotion,cnn,all,single_frame,positive,0.5000,0.4091
convnext_tiny_emotion,cnn,all,single_frame,positive,0.5000,0.5000
convnext_tiny_emotion,cnn,all,single_frame,positive,0.5769,0.5000
convnext_tiny_emotion,cnn,all,single_frame,positive,0.5769,0.5455
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6026,0.5455
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6026,0.5909
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6538,0.5909
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6538,0.6364
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6795,0.6364
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6795,0.6818
convnext_tiny_emotion,cnn,all,single_frame,positive,0.7564,0.6818
convnext_tiny_emotion,cnn,all,single_frame,positive,0.7564,0.7273
convnext_tiny_emotion,cnn,all,single_frame,positive,0.7821,0.7273
convnext_tiny_emotion,cnn,all,single_frame,positive,0.7821,0.7727
convnext_tiny_emotion,cnn,all,single_frame,positive,0.8205,0.7727
convnext_tiny_emotion,cnn,all,single_frame,positive,0.8205,0.8182
convnext_tiny_emotion,cnn,all,single_frame,positive,0.8462,0.8182
convnext_tiny_emotion,cnn,all,single_frame,positive,0.8462,0.8636
convnext_tiny_emotion,cnn,all,single_frame,positive,0.8718,0.8636
convnext_tiny_emotion,cnn,all,single_frame,positive,0.8718,0.9091
convnext_tiny_emotion,cnn,all,single_frame,positive,0.9359,0.9091
convnext_tiny_emotion,cnn,all,single_frame,positive,0.9359,0.9545
convnext_tiny_emotion,cnn,all,single_frame,positive,0.9744,0.9545
convnext_tiny_emotion,cnn,all,single_frame,positive,0.9744,1.0000
convnext_tiny_emotion,cnn,all,single_frame,positive,1.0000,1.0000
convnext_tiny_emotion,cnn,all,smoothed,negative,0.0000,0.0000
convnext_tiny_emotion,cnn,all,smoothed,negative,0.0137,0.0000
convnext_tiny_emotion,cnn,all,smoothed,negative,0.0137,0.0741
convnext_tiny_emotion,cnn,all,smoothed,negative,0.0274,0.0741
convnext_tiny_emotion,cnn,all,smoothed,negative,0.0274,0.1111
convnext_tiny_emotion,cnn,all,smoothed,negative,0.0548,0.1111
convnext_tiny_emotion,cnn,all,smoothed,negative,0.0548,0.2963
convnext_tiny_emotion,cnn,all,smoothed,negative,0.0959,0.2963
convnext_tiny_emotion,cnn,all,smoothed,negative,0.0959,0.3704
convnext_tiny_emotion,cnn,all,smoothed,negative,0.1096,0.3704
convnext_tiny_emotion,cnn,all,smoothed,negative,0.1096,0.4074
convnext_tiny_emotion,cnn,all,smoothed,negative,0.1233,0.4074
convnext_tiny_emotion,cnn,all,smoothed,negative,0.1233,0.5185
convnext_tiny_emotion,cnn,all,smoothed,negative,0.1644,0.5185
convnext_tiny_emotion,cnn,all,smoothed,negative,0.1644,0.5556
convnext_tiny_emotion,cnn,all,smoothed,negative,0.3014,0.5556
convnext_tiny_emotion,cnn,all,smoothed,negative,0.3014,0.6667
convnext_tiny_emotion,cnn,all,smoothed,negative,0.3973,0.6667
convnext_tiny_emotion,cnn,all,smoothed,negative,0.3973,0.7037
convnext_tiny_emotion,cnn,all,smoothed,negative,0.4110,0.7037
convnext_tiny_emotion,cnn,all,smoothed,negative,0.4110,0.7407
convnext_tiny_emotion,cnn,all,smoothed,negative,0.4521,0.7407
convnext_tiny_emotion,cnn,all,smoothed,negative,0.4521,0.7778
convnext_tiny_emotion,cnn,all,smoothed,negative,0.4658,0.7778
convnext_tiny_emotion,cnn,all,smoothed,negative,0.4658,0.8148
convnext_tiny_emotion,cnn,all,smoothed,negative,0.4932,0.8148
convnext_tiny_emotion,cnn,all,smoothed,negative,0.4932,0.8889
convnext_tiny_emotion,cnn,all,smoothed,negative,0.5616,0.8889
convnext_tiny_emotion,cnn,all,smoothed,negative,0.5616,0.9259
convnext_tiny_emotion,cnn,all,smoothed,negative,0.5890,0.9259
convnext_tiny_emotion,cnn,all,smoothed,negative,0.5890,0.9630
convnext_tiny_emotion,cnn,all,smoothed,negative,0.6164,0.9630
convnext_tiny_emotion,cnn,all,smoothed,negative,0.6164,1.0000
convnext_tiny_emotion,cnn,all,smoothed,negative,1.0000,1.0000
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.0000,0.0000
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.0000,0.0196
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.0000,0.2157
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.0204,0.2157
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.0204,0.2353
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.0408,0.2353
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.0408,0.4706
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.0816,0.4706
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.0816,0.5490
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.1429,0.5490
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.1429,0.5686
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.1837,0.5686
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.1837,0.5882
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.2245,0.5882
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.2245,0.6078
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.3469,0.6078
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.3469,0.6471
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.3673,0.6471
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.3673,0.7059
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.3878,0.7059
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.3878,0.7255
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.4490,0.7255
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.4490,0.7451
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.4898,0.7451
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.4898,0.8431
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.5102,0.8431
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.5102,0.8627
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.5510,0.8627
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.5510,0.8824
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.5918,0.8824
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.5918,0.9020
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.6327,0.9020
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.6327,0.9216
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.6939,0.9216
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.6939,0.9412
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.8367,0.9412
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.8367,0.9608
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.8776,0.9608
convnext_tiny_emotion,cnn,all,smoothed,neutral,0.8776,0.9804
convnext_tiny_emotion,cnn,all,smoothed,neutral,1.0000,0.9804
convnext_tiny_emotion,cnn,all,smoothed,neutral,1.0000,1.0000
convnext_tiny_emotion,cnn,all,smoothed,positive,0.0000,0.0000
convnext_tiny_emotion,cnn,all,smoothed,positive,0.0128,0.0000
convnext_tiny_emotion,cnn,all,smoothed,positive,0.1538,0.0000
convnext_tiny_emotion,cnn,all,smoothed,positive,0.1538,0.0455
convnext_tiny_emotion,cnn,all,smoothed,positive,0.2308,0.0455
convnext_tiny_emotion,cnn,all,smoothed,positive,0.2308,0.1364
convnext_tiny_emotion,cnn,all,smoothed,positive,0.2436,0.1364
convnext_tiny_emotion,cnn,all,smoothed,positive,0.2436,0.1818
convnext_tiny_emotion,cnn,all,smoothed,positive,0.4231,0.1818
convnext_tiny_emotion,cnn,all,smoothed,positive,0.4231,0.2273
convnext_tiny_emotion,cnn,all,smoothed,positive,0.4359,0.2273
convnext_tiny_emotion,cnn,all,smoothed,positive,0.4359,0.2727
convnext_tiny_emotion,cnn,all,smoothed,positive,0.4487,0.2727
convnext_tiny_emotion,cnn,all,smoothed,positive,0.4487,0.3636
convnext_tiny_emotion,cnn,all,smoothed,positive,0.4615,0.3636
convnext_tiny_emotion,cnn,all,smoothed,positive,0.4615,0.4091
convnext_tiny_emotion,cnn,all,smoothed,positive,0.4744,0.4091
convnext_tiny_emotion,cnn,all,smoothed,positive,0.4744,0.5000
convnext_tiny_emotion,cnn,all,smoothed,positive,0.6282,0.5000
convnext_tiny_emotion,cnn,all,smoothed,positive,0.6282,0.5455
convnext_tiny_emotion,cnn,all,smoothed,positive,0.6538,0.5455
convnext_tiny_emotion,cnn,all,smoothed,positive,0.6538,0.6364
convnext_tiny_emotion,cnn,all,smoothed,positive,0.7436,0.6364
convnext_tiny_emotion,cnn,all,smoothed,positive,0.7436,0.7273
convnext_tiny_emotion,cnn,all,smoothed,positive,0.7821,0.7273
convnext_tiny_emotion,cnn,all,smoothed,positive,0.7821,0.7727
convnext_tiny_emotion,cnn,all,smoothed,positive,0.8333,0.7727
convnext_tiny_emotion,cnn,all,smoothed,positive,0.8333,0.8636
convnext_tiny_emotion,cnn,all,smoothed,positive,0.9231,0.8636
convnext_tiny_emotion,cnn,all,smoothed,positive,0.9231,0.9091
convnext_tiny_emotion,cnn,all,smoothed,positive,0.9359,0.9091
convnext_tiny_emotion,cnn,all,smoothed,positive,0.9359,0.9545
convnext_tiny_emotion,cnn,all,smoothed,positive,0.9487,0.9545
convnext_tiny_emotion,cnn,all,smoothed,positive,0.9487,1.0000
convnext_tiny_emotion,cnn,all,smoothed,positive,1.0000,1.0000
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.0000,0.0000
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.0323,0.0000
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.0323,0.1053
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.0968,0.1053
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.0968,0.1579
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.1290,0.1579
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.1290,0.2105
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.1935,0.2105
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.1935,0.4737
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.2258,0.4737
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.2258,0.5263
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.2581,0.5263
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.2581,0.5789
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.2903,0.5789
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.2903,0.7368
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.3548,0.7368
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.3548,0.8421
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.4516,0.8421
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.4516,0.8947
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.4839,0.8947
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.4839,0.9474
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.7419,0.9474
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.7419,1.0000
convnext_tiny_emotion,cnn,dev,single_frame,negative,1.0000,1.0000
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.0000,0.0000
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.0000,0.0476
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.0000,0.1905
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.0690,0.1905
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.0690,0.2381
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.1034,0.2381
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.1034,0.3333
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.1379,0.3333
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.1379,0.6190
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.2069,0.6190
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.2069,0.6667
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.2414,0.6667
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.2414,0.7143
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.5172,0.7143
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.5172,0.8095
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.6207,0.8095
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.6207,0.8571
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.6897,0.8571
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.6897,0.9048
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.7586,0.9048
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.7586,0.9524
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.8621,0.9524
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.8621,1.0000
convnext_tiny_emotion,cnn,dev,single_frame,neutral,1.0000,1.0000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.0000,0.0000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.0250,0.0000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.2250,0.0000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.2250,0.1000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.3000,0.1000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.3000,0.3000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.3250,0.3000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.3250,0.4000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.3750,0.4000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.3750,0.5000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.4750,0.5000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.4750,0.7000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.7250,0.7000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.7250,0.8000
convnext_tiny_emotion,cnn,dev,single_frame,positive,1.0000,0.8000
convnext_tiny_emotion,cnn,dev,single_frame,positive,1.0000,1.0000
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.0000,0.0000
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.0323,0.0000
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.0323,0.3684
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.0645,0.3684
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.0645,0.4211
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.1935,0.4211
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.1935,0.5789
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.2903,0.5789
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.2903,0.6842
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.3548,0.6842
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.3548,0.7368
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.3871,0.7368
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.3871,0.7895
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.4516,0.7895
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.4516,0.8421
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.5806,0.8421
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.5806,0.9474
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.6129,0.9474
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.6129,1.0000
convnext_tiny_emotion,cnn,dev,smoothed,negative,1.0000,1.0000
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.0000,0.0000
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.0000,0.0476
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.0000,0.1429
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.0345,0.1429
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.0345,0.1905
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.0690,0.1905
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.0690,0.4762
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.1379,0.4762
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.1379,0.5714
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.1724,0.5714
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.1724,0.6190
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.2069,0.6190
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.2069,0.6667
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.4483,0.6667
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.4483,0.7619
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.4828,0.7619
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.4828,0.8571
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.6207,0.8571
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.6207,0.9524
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.6897,0.9524
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.6897,1.0000
